"SDS Dogs .","Dog's Call Name","Dog's Registration Name","Dog's Breed","Registered","A Novice Title","A Nov Containers","A Nov Area Search","A Nov Game","P Novice Title","P Novice Containers","P Novice Area Search","P Novice Game","A Advanced Title","A Adv Containers","A Adv Area Search","A Adv Game","P Advanced Title","P Advance Containers","P Advance Area Search","P Advanced Game","A Excellent Title","A Ex Containers","A Ex Area Search","A Ex Game","P Excellent Title","P Excellent Containers","P Excellent Area Search","P Excellent Game","Masters Title","Handler Number"
1,"Ube","Lonestar Ube Early","Border Collie",1,,,,,,,,,,,,,,,,,3/19/2016 0:00:00,3/19/2016 0:00:00,3/19/2016 0:00:00,3/19/2016 0:00:00,,5/8/2016 0:00:00,,5/8/2016 0:00:00,,1
2,"Poppy",,"Border Collie",1,,,,,,,,,,,,,,,,,,,,,5/8/2016 0:00:00,5/8/2016 0:00:00,5/8/2016 0:00:00,3/19/2016 0:00:00,,2
3,"Nickel","Blackwatch Little Lucky Nickel","Border Collie",1,,,,,,,,,,,,,,,,,,,,,,,,,,1
4,"Cyder","Wildwind's Spyder","Labrador",1,,,,,,,,,,,,,,,,,,,,,,,,,,2
5,"Lefty",,"Whippet",1,,,,,,,,,,,,,,,,,,,,,,,,,,5
6,"Posie","Elkens All-Star Posie","Labrador Retreiver",1,,,,,,,,,5/8/2016 0:00:00,3/19/2016 0:00:00,5/8/2016 0:00:00,3/19/2016 0:00:00,,,,,,,,,,,,,,6
7,"Zach",,"German Shephard Dog",1,,,,,,,,,,,,5/7/2016 0:00:00,,,,,,,,,,,,,,7
8,"Spike-Rose Expired",,"All-American",0,,,,,,,,,,,,,,,,,,,,,,,,,,8
9,"Annie",,"Australian Shepherd",1,3/20/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,,,,,,5/7/2016 0:00:00,5/7/2016 0:00:00,,,,,,,,,,,,,,,9
10,"Bonny",,"All-American",1,,,,,,,,,,,,,,,,,,,,,,,,,,9
11,"Lewis",,"Beagle",1,,,,,,,,,,,,,,,,,,,,,,,,,,11
12,,"Full Circle's Mission to Marzipan","Whippet",1,,,,,,,,,,,,,,,,,,,,,,,,,,12
13,"Peanut","Blue Tick Peanut","Blue Heeler Cross",1,,,,,,,,,,,,,,,,,,,,,,,,,,13
14,"Zeus",,"German Shepherd Dog",1,3/20/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,,,,,,,,5/7/2016 0:00:00,,,,,,,,,,,,,,14
15,"Cody","Cody","Cavachon",1,,,,,,,,,,,,,,,,,,,,,,,,,,15
16,"Hank",,"German Shepherd Dog",1,,,,,,,,,,,,,,,,,,,,,,,,,,16
17,"Amica","Primetime K9s Amica Mia vom Kraftwerk","German Shepherd Dog",1,,,,,,,,,,,,,,,,,,,,3/19/2016 0:00:00,,,,,,17
18,"Lolly","Hisaw Loppipop Dream","Australian Shepherd",1,,,,,,,,,,,,,,,,,,,,,,,,,,18
19,"Shelby",,"Shetland Sheepdog",1,,,,,,,,,,,,,,,,,,,,5/8/2016 0:00:00,,,,,,19
20,,"Stone Coals Majestic Enzo","Labrador Retriever",1,,,,,,,,,,,,,,,,,,,,,,,,,,20
21,"Elvis",,"All-American",1,,,,,,,,,,,,,,,,,,,3/19/2016 0:00:00,3/19/2016 0:00:00,,,,,,21
22,"Elsa","Elsa Evans","German Shepherd Dog",1,,,,,,,,,,,,5/7/2016 0:00:00,,,,,,,,,,,,,,22
23,"Tiger","Gem's Heard of a Tiger","Beagle",1,,,,,,,,,,,,,,,,,,,,,,,,,,23
24,"Phoenix",,"All-American",1,,,,,,,,,,,,,,,,,,,,,,,,,,24
25,"Roxie",,"English Cocker Spaniel",1,,,,,,,,,5/8/2016 0:00:00,5/8/2016 0:00:00,5/8/2016 0:00:00,5/8/2016 0:00:00,,,,,,,,,,,,,,25
26,"Jack","Cap'n Jack","Golden Retriever",1,5/7/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,5/7/2016 0:00:00,,,,,,,,,,,,,,,,,,,,,,26
27,"Taya",,"All-American",1,,,,,,,,,5/7/2016 0:00:00,3/19/2016 0:00:00,5/7/2016 0:00:00,3/19/2016 0:00:00,,,,,,,,,,,,,,27
28,"Braux","Braux Vom Laurin","German Shepherd Dog",1,,,,,,,,,,,,,,,,,,,,,,,,,,28
29,"Sadie","Miss Sadie of Ynez","Golden Retriever",1,,,,,,,,,5/8/2016 0:00:00,5/8/2016 0:00:00,3/19/2016 0:00:00,3/19/2016 0:00:00,,,,,,,,5/8/2016 0:00:00,,,,,,31
30,"Dancer","Bear Dancer","Schipperke",1,,,,,,,,,,5/8/2016 0:00:00,,5/7/2016 0:00:00,,,,,,,,,,,,,,32
31,"Jozzzy","Witrock's Jozzzzzelle","Doberman Pincher",1,,,,,,,,,,,,3/19/2016 0:00:00,,,,,,,,,,,,,,33
32,"Sugar",,"All-American",1,,,,,,,,,,,,,,,,,5/8/2016 0:00:00,5/8/2016 0:00:00,5/8/2016 0:00:00,5/8/2016 0:00:00,,,,,,34
33,"Daisy May","Rockville's Orange Flame","Weimaraner",1,,,,,,,,,5/8/2016 0:00:00,3/19/2016 0:00:00,5/8/2016 0:00:00,3/19/2016 0:00:00,,,,,,,,,,,,,,35
34,"Jonah","Tanaki's Miyaki Jonah 'N Black","Portuguese Water Dog",1,5/7/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,5/7/2016 0:00:00,,,,,,,,,,,,,,,,,,,,,,36
35,"Asher",,"German Shepherd Dog",1,,,,,,,,,,,,,,,,,,,,,,,,,,37
36,"Amber",,"Golden Doodle",1,,,,,,,,,5/8/2016 0:00:00,3/19/2016 0:00:00,5/8/2016 0:00:00,3/19/2016 0:00:00,,,,,,,,5/8/2016 0:00:00,,,,,,38
37,"Honey",,"Shetland Sheepdog",1,5/7/2016 0:00:00,3/20/2016 0:00:00,5/7/2016 0:00:00,3/20/2016 0:00:00,,,,,,,,,,,,,,,,,,,,,,39
38,,"Criterias Anasazi Raven","Austalian Shepherd",1,,,,,,,,,,,,,,,,,,,,,,,,,,40
39,"Fire","Testimony's I'm On Fire at Anasazi","Australian Shepherd",1,3/20/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,,,,,,,,,,,,,,,,,,,,,,40
41,"Riley","Windfalls Heaven Sent","Australian Shepherd",1,,,,,,,,,,3/19/2016 0:00:00,,3/19/2016 0:00:00,,,,,,,,,,,,,,42
42,"Kyrie","Hill Top Misty's Andrew Kieran","Australian Shepherd",1,,,,,,,,,,,,,,,,,,,,,,,,,,43
43,"Dutch","Alouette's Heart and Soul","Malinois",1,,,,,,,,,,,,,,,,,,,,5/8/2016 0:00:00,,,,,,45
44,"Bella","Bella","Australian Cattle Dog",1,5/7/2016 0:00:00,5/7/2016 0:00:00,5/7/2016 0:00:00,5/7/2016 0:00:00,,,,,,,,,,,,,,,,,,,,,,46
45,,"Little Miss Ladybug","Border Collie",1,,,,,,,,,,,,,,,,,,,,,,,,,,47
46,"Bode","Ch. Agent's White Wold Wild Time","Samoyed",1,3/20/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,,,,,,5/7/2016 0:00:00,5/7/2016 0:00:00,,,,,,,,,,,,,,,48
47,"Bane",,"German Shepherd Dog",1,,,,,,,,,,,,,,,,,,,,,,,,,,49
48,"McKenzee","Int'l & AM GCH Silverado Tiny Dancer 
RE JH OJP NAP SD NRD NW1 RATI RATO SDS-SP ThD FO CGC V","Weimaraner",1,,,,,,,,,5/8/2016 0:00:00,5/8/2016 0:00:00,5/8/2016 0:00:00,5/8/2016 0:00:00,,,,,,,,,,,,,,50
49,"Jezebel","Coloma's Jezebel","Catahoula Leopard Dog",1,3/20/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,,,,,,,,,,,,,,,,,,,,,,51
51,"Sadie",,"Australian Cattle Dog",1,,,,,,,,,,,,,,,,,,,3/19/2016 0:00:00,3/19/2016 0:00:00,,,,,,53
52,"Tovah","Terror's Tovah of Oakleaf","Pattendale Terrier",1,,,,,,,,,,,,,,,,,,,,,,,,,,54
53,"Tara","CMC's Tara the Terror of Oakleaf","Pattendale Terrier",1,,,,,,,,,,,,,,,,,,,,,,,,,,54
54,"Yauncey","EXPIRED","Australian Shepherd",1,,,,,,,,,,,,,,,,,,,,,,,,,,55
55,"Kiyoshi",,"Shetland Sheepdog",1,,,,,,,,,,5/8/2016 0:00:00,,,,,,,,,,,,,,,,56
56,"Rookie",,"All-American",1,,,,,,,,,,,,,,,,,,,,,,,,,,57
57,"Trace","Basquelan Big-Mtn Without a Trace","Belgian Teveran",1,,,,,,,,,,,,,,,,,,,,,,,,,,58
58,"Serra Pat","Serra Plain & Tall","All-American",1,,,,,,,,,,,,,,,,,,,,,,,,,,58
59,"Bella","Wedel's Bella Boo","All-American",1,5/7/2016 0:00:00,3/20/2016 0:00:00,5/7/2016 0:00:00,3/20/2016 0:00:00,,,,,,,,,,,,,,,,,,,,,,59
60,"Kerry","Heatherhill Kerry Blue","Australian Shepherd",0,,,,,,,,,,,,,,,,,,,,,,,,,,3
61,"Lea","Heatherhill A River Runs Through Her","Australian Shepherd",0,,,,,,,,,,,,,,,,,,,,,,,,,,3
62,"Spark","Chroma Lets Get This Show on the Road","Great Dane",0,,,,,,,,,,,,,,,,,,,,,,,,,,63
63,"Shameera","Paraclete Venus Goddess of Love","Great Dane",0,,,,,,,,,,,,,,,,,,,,,,,,,,63
64,"Cozy",,"Border Terrier",1,,,,,,,,,5/7/2016 0:00:00,5/7/2016 0:00:00,5/7/2016 0:00:00,3/19/2016 0:00:00,,,,,,,,,,,,,,64
65,"Mochi","Greley's Cali No MochiKata","Border Terrier",1,,,,,,,,,,,,,,,,,,,,,,,,,,65
66,"Ranger","Mistypoint Far Ranger","Labrador Retriever",1,,,,,,,,,,,,,,,,,,,,,,,,,,66
67,"Party","Ch Foxfire's Paint the Town Red","Doberman",1,,,,,,,,,,,,5/8/2016 0:00:00,,,,,,,,,,,,,,67
68,"Annie","Testimony to Insight","Australian Shepherd",1,,,,,,,,,,5/8/2016 0:00:00,,5/8/2016 0:00:00,,,,,,,,,,,,,,68
